mode,seed,split,setting,R,gamma,p,C,kappa,true_permanence_hold,failure,final_corr_sa,mean_corr_sa,mean_adversary_concealment,final_adversary_concealment,mean_adversary_fitness,adversary_extinct,mean_adversary_share,caught_events,false_positive_events,steps_run
strategic,4100,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.5833333333333334,1.0,1.0,1.151949084900874,0,0.8996177876495666,0,0,72
strategic,4101,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5714285714285714,0.9968032945915761,0.9968032945915762,1.152464797617451,0,0.9150680804166174,0,0,56
strategic,4102,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.5076923076923077,1.0,1.0,1.1512196985559546,0,0.9079312764637146,0,0,65
strategic,4103,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.35714285714285715,1.0,1.0,1.1452618587663077,0,0.8760892639854083,0,0,112
strategic,4104,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999998,-0.5121951219512195,1.0,1.0,1.150736896795746,0,0.8912245288965333,0,0,82
strategic,4105,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.21518987341772153,1.0,1.0,1.1475221125720185,0,0.895621879533574,0,0,79
strategic,4106,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5405405405405406,1.0,1.0,1.1495266457390676,0,0.8982084673320728,0,0,74
strategic,4107,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.3924050632911392,1.0,1.0,1.1485722301585113,0,0.8869684526853202,0,0,79
strategic,4108,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.40298507462686567,1.0,1.0,1.1498367596633212,0,0.9149616773298346,0,0,67
strategic,4109,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.803921568627451,1.0,1.0,1.1582035197148228,0,0.9262203368015275,0,0,51
strategic,4110,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5932203389830508,1.0,1.0,1.1521706375755048,0,0.9132821981301417,0,0,59
strategic,4111,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1506280046672244,0,0.9123826774123336,0,0,63
strategic,4112,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.6842105263157895,1.0,1.0,1.1540036462196603,0,0.9120181387332822,0,0,57
strategic,4113,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999998,-0.540983606557377,0.9991047958645706,1.0,1.1505523212170055,0,0.9137252896789244,0,0,61
strategic,4114,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5068493150684932,1.0,1.0,1.1488672208661719,0,0.8974775826399713,0,0,73
strategic,4115,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.6949152542372882,1.0,1.0,1.1537030192751958,0,0.9121755530076332,0,0,59
strategic,4116,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5588235294117647,1.0,1.0,1.150413845792245,0,0.9049042765193908,0,0,68
strategic,4117,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.657142857142857,1.0,1.0,1.150679003200764,0,0.9227795322457583,0,0,70
strategic,4118,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.52,1.0,1.0,1.1494902128856472,0,0.9002566971223214,0,0,75
strategic,4119,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5873015873015873,1.0,1.0,1.1523068641210248,0,0.9158814479723809,0,0,63
strategic,4120,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.47368421052631576,1.0,1.0,1.1537343914595006,0,0.9163809961186945,0,0,57
strategic,4121,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.39024390243902435,1.0,1.0,1.1497303693917469,0,0.8953776984897592,0,0,82
strategic,4122,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.3150684931506849,1.0,1.0,1.149938692460945,0,0.8993866221882492,0,0,73
strategic,4123,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1519466973083263,0,0.9134933897207819,0,0,63
strategic,4124,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.40816326530612246,1.0,1.0,1.1459328583771573,0,0.8965969780947368,0,0,98
strategic,4125,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5802469135802469,1.0,1.0,1.1485254042565665,0,0.8908789074988599,0,0,81
strategic,4126,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.6333333333333333,1.0,1.0,1.1516240126250017,0,0.9185030248068756,0,0,60
strategic,4127,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999999,-0.4482758620689655,0.9723165486472457,0.9723165486472455,1.150818665605719,0,0.9166820215786645,0,0,58
strategic,4128,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.23684210526315788,1.0,1.0,1.1462524264206966,0,0.8910746063886565,0,0,76
strategic,4129,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.5833333333333334,1.0,1.0,1.1504164941476587,0,0.9077151628514082,0,0,72
strategic,4100,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.5833333333333334,1.0,1.0,1.151949084900874,0,0.8996177876495666,0,0,72
strategic,4101,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5714285714285714,0.9968032945915761,0.9968032945915762,1.152464797617451,0,0.9150680804166174,0,0,56
strategic,4102,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.5076923076923077,1.0,1.0,1.1512196985559546,0,0.9079312764637146,0,0,65
strategic,4103,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.35714285714285715,1.0,1.0,1.1452618587663077,0,0.8760892639854083,0,0,112
strategic,4104,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999998,-0.5121951219512195,1.0,1.0,1.150736896795746,0,0.8912245288965333,0,0,82
strategic,4105,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.21518987341772153,1.0,1.0,1.1475221125720185,0,0.895621879533574,0,0,79
strategic,4106,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5405405405405406,1.0,1.0,1.1495266457390676,0,0.8982084673320728,0,0,74
strategic,4107,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.3924050632911392,1.0,1.0,1.1485722301585113,0,0.8869684526853202,0,0,79
strategic,4108,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.40298507462686567,1.0,1.0,1.1498367596633212,0,0.9149616773298346,0,0,67
strategic,4109,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.803921568627451,1.0,1.0,1.1582035197148228,0,0.9262203368015275,0,0,51
strategic,4110,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5932203389830508,1.0,1.0,1.1521706375755048,0,0.9132821981301417,0,0,59
strategic,4111,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1506280046672244,0,0.9123826774123336,0,0,63
strategic,4112,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.6842105263157895,1.0,1.0,1.1540036462196603,0,0.9120181387332822,0,0,57
strategic,4113,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999998,-0.540983606557377,0.9991047958645706,1.0,1.1505523212170055,0,0.9137252896789244,0,0,61
strategic,4114,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5068493150684932,1.0,1.0,1.1488672208661719,0,0.8974775826399713,0,0,73
strategic,4115,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.6949152542372882,1.0,1.0,1.1537030192751958,0,0.9121755530076332,0,0,59
strategic,4116,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5588235294117647,1.0,1.0,1.150413845792245,0,0.9049042765193908,0,0,68
strategic,4117,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.657142857142857,1.0,1.0,1.150679003200764,0,0.9227795322457583,0,0,70
strategic,4118,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.52,1.0,1.0,1.1494902128856472,0,0.9002566971223214,0,0,75
strategic,4119,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5873015873015873,1.0,1.0,1.1523068641210248,0,0.9158814479723809,0,0,63
strategic,4120,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.47368421052631576,1.0,1.0,1.1537343914595006,0,0.9163809961186945,0,0,57
strategic,4121,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.39024390243902435,1.0,1.0,1.1497303693917469,0,0.8953776984897592,0,0,82
strategic,4122,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.3150684931506849,1.0,1.0,1.149938692460945,0,0.8993866221882492,0,0,73
strategic,4123,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1519466973083263,0,0.9134933897207819,0,0,63
strategic,4124,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.40816326530612246,1.0,1.0,1.1459328583771573,0,0.8965969780947368,0,0,98
strategic,4125,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5802469135802469,1.0,1.0,1.1485254042565665,0,0.8908789074988599,0,0,81
strategic,4126,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.6333333333333333,1.0,1.0,1.1516240126250017,0,0.9185030248068756,0,0,60
strategic,4127,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-0.9999999999999999,-0.4482758620689655,0.9723165486472457,0.9723165486472455,1.150818665605719,0,0.9166820215786645,0,0,58
strategic,4128,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.23684210526315788,1.0,1.0,1.1462524264206966,0,0.8910746063886565,0,0,76
strategic,4129,heldout,r07,2.0,0.0,0.0,0.0,0.3,0,1,-1.0,-0.5833333333333334,1.0,1.0,1.1504164941476587,0,0.9077151628514082,0,0,72
strategic,4100,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.5833333333333334,1.0,1.0,1.151949084900874,0,0.8996177876495666,0,0,72
strategic,4101,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5714285714285714,0.9968032945915761,0.9968032945915762,1.152464797617451,0,0.9150680804166174,0,0,56
strategic,4102,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.5076923076923077,1.0,1.0,1.1512196985559546,0,0.9079312764637146,0,0,65
strategic,4103,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.35714285714285715,1.0,1.0,1.1452618587663077,0,0.8760892639854083,0,0,112
strategic,4104,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999998,-0.5121951219512195,1.0,1.0,1.150736896795746,0,0.8912245288965333,0,0,82
strategic,4105,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.21518987341772153,1.0,1.0,1.1475221125720185,0,0.895621879533574,0,0,79
strategic,4106,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5405405405405406,1.0,1.0,1.1495266457390676,0,0.8982084673320728,0,0,74
strategic,4107,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.3924050632911392,1.0,1.0,1.1485722301585113,0,0.8869684526853202,0,0,79
strategic,4108,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.40298507462686567,1.0,1.0,1.1498367596633212,0,0.9149616773298346,0,0,67
strategic,4109,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.803921568627451,1.0,1.0,1.1582035197148228,0,0.9262203368015275,0,0,51
strategic,4110,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5932203389830508,1.0,1.0,1.1521706375755048,0,0.9132821981301417,0,0,59
strategic,4111,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1506280046672244,0,0.9123826774123336,0,0,63
strategic,4112,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.6842105263157895,1.0,1.0,1.1540036462196603,0,0.9120181387332822,0,0,57
strategic,4113,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999998,-0.540983606557377,0.9991047958645706,1.0,1.1505523212170055,0,0.9137252896789244,0,0,61
strategic,4114,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5068493150684932,1.0,1.0,1.1488672208661719,0,0.8974775826399713,0,0,73
strategic,4115,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.6949152542372882,1.0,1.0,1.1537030192751958,0,0.9121755530076332,0,0,59
strategic,4116,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5588235294117647,1.0,1.0,1.150413845792245,0,0.9049042765193908,0,0,68
strategic,4117,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.657142857142857,1.0,1.0,1.150679003200764,0,0.9227795322457583,0,0,70
strategic,4118,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.52,1.0,1.0,1.1494902128856472,0,0.9002566971223214,0,0,75
strategic,4119,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5873015873015873,1.0,1.0,1.1523068641210248,0,0.9158814479723809,0,0,63
strategic,4120,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.47368421052631576,1.0,1.0,1.1537343914595006,0,0.9163809961186945,0,0,57
strategic,4121,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.39024390243902435,1.0,1.0,1.1497303693917469,0,0.8953776984897592,0,0,82
strategic,4122,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.3150684931506849,1.0,1.0,1.149938692460945,0,0.8993866221882492,0,0,73
strategic,4123,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1519466973083263,0,0.9134933897207819,0,0,63
strategic,4124,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.40816326530612246,1.0,1.0,1.1459328583771573,0,0.8965969780947368,0,0,98
strategic,4125,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5802469135802469,1.0,1.0,1.1485254042565665,0,0.8908789074988599,0,0,81
strategic,4126,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.6333333333333333,1.0,1.0,1.1516240126250017,0,0.9185030248068756,0,0,60
strategic,4127,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-0.9999999999999999,-0.4482758620689655,0.9723165486472457,0.9723165486472455,1.150818665605719,0,0.9166820215786645,0,0,58
strategic,4128,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.23684210526315788,1.0,1.0,1.1462524264206966,0,0.8910746063886565,0,0,76
strategic,4129,heldout,r07,2.0,0.0,0.0,0.5,0.0,0,1,-1.0,-0.5833333333333334,1.0,1.0,1.1504164941476587,0,0.9077151628514082,0,0,72
strategic,4100,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.5833333333333334,1.0,1.0,1.151949084900874,0,0.8996177876495666,0,0,72
strategic,4101,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5714285714285714,0.9968032945915761,0.9968032945915762,1.152464797617451,0,0.9150680804166174,0,0,56
strategic,4102,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.5076923076923077,1.0,1.0,1.1512196985559546,0,0.9079312764637146,0,0,65
strategic,4103,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.35714285714285715,1.0,1.0,1.1452618587663077,0,0.8760892639854083,0,0,112
strategic,4104,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999998,-0.5121951219512195,1.0,1.0,1.150736896795746,0,0.8912245288965333,0,0,82
strategic,4105,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.21518987341772153,1.0,1.0,1.1475221125720185,0,0.895621879533574,0,0,79
strategic,4106,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5405405405405406,1.0,1.0,1.1495266457390676,0,0.8982084673320728,0,0,74
strategic,4107,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.3924050632911392,1.0,1.0,1.1485722301585113,0,0.8869684526853202,0,0,79
strategic,4108,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.40298507462686567,1.0,1.0,1.1498367596633212,0,0.9149616773298346,0,0,67
strategic,4109,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.803921568627451,1.0,1.0,1.1582035197148228,0,0.9262203368015275,0,0,51
strategic,4110,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5932203389830508,1.0,1.0,1.1521706375755048,0,0.9132821981301417,0,0,59
strategic,4111,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1506280046672244,0,0.9123826774123336,0,0,63
strategic,4112,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.6842105263157895,1.0,1.0,1.1540036462196603,0,0.9120181387332822,0,0,57
strategic,4113,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999998,-0.540983606557377,0.9991047958645706,1.0,1.1505523212170055,0,0.9137252896789244,0,0,61
strategic,4114,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5068493150684932,1.0,1.0,1.1488672208661719,0,0.8974775826399713,0,0,73
strategic,4115,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.6949152542372882,1.0,1.0,1.1537030192751958,0,0.9121755530076332,0,0,59
strategic,4116,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5588235294117647,1.0,1.0,1.150413845792245,0,0.9049042765193908,0,0,68
strategic,4117,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.657142857142857,1.0,1.0,1.150679003200764,0,0.9227795322457583,0,0,70
strategic,4118,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.52,1.0,1.0,1.1494902128856472,0,0.9002566971223214,0,0,75
strategic,4119,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5873015873015873,1.0,1.0,1.1523068641210248,0,0.9158814479723809,0,0,63
strategic,4120,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.47368421052631576,1.0,1.0,1.1537343914595006,0,0.9163809961186945,0,0,57
strategic,4121,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.39024390243902435,1.0,1.0,1.1497303693917469,0,0.8953776984897592,0,0,82
strategic,4122,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.3150684931506849,1.0,1.0,1.149938692460945,0,0.8993866221882492,0,0,73
strategic,4123,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5238095238095238,1.0,1.0,1.1519466973083263,0,0.9134933897207819,0,0,63
strategic,4124,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.40816326530612246,1.0,1.0,1.1459328583771573,0,0.8965969780947368,0,0,98
strategic,4125,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5802469135802469,1.0,1.0,1.1485254042565665,0,0.8908789074988599,0,0,81
strategic,4126,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.6333333333333333,1.0,1.0,1.1516240126250017,0,0.9185030248068756,0,0,60
strategic,4127,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-0.9999999999999999,-0.4482758620689655,0.9723165486472457,0.9723165486472455,1.150818665605719,0,0.9166820215786645,0,0,58
strategic,4128,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.23684210526315788,1.0,1.0,1.1462524264206966,0,0.8910746063886565,0,0,76
strategic,4129,heldout,r07,2.0,0.0,0.0,0.5,0.1,0,1,-1.0,-0.5833333333333334,1.0,1.0,1.1504164941476587,0,0.9077151628514082,0,0,72
strategic,4100,heldout,r07,2.0,0.0,0.0,0.5,0.3,0,1,-0.9999999999999999,-0.5833333333333334,1.0,1.0,1.151949084900874,0,0.8996177876495666,0,0,72
strategic,4101,heldout,r07,2.0,0.0,0.0,0.5,0.3,0,1,-1.0,-0.5714285714285714,0.9968032945915761,0.9968032945915762,1.152464797617451,0,0.9150680804166174,0,0,56
strategic,4102,heldout,r07,2.0,0.0,0.0,0.5,0.3,0,1,-0.9999999999999999,-0.5076923076923077,1.0,1.0,1.1512196985559546,0,0.9079312764637146,0,0,65
strategic,4103,heldout,r07,2.0,0.0,0.0,0.5,0.3,0,1,-1.0,-0.35714285714285715,1.0,1.0,1.1452618587663077,0,0.8760892639854083,0,0,112
