seed,split,setting,R,gamma,p,C,kappa,true_permanence_hold,failure,final_corr_sa,mean_corr_sa,mean_adversary_fitness,mean_adversary_deceptive_gap,capture_events,caught_events,false_positive_events,steps_run
4106,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,1.0,0.5,1.1288609099390037,0.0029598275880394504,0,0,0,120
4107,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,1.0,0.13333333333333333,1.1311642031904048,0.0,0,0,0,120
4108,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,0.9999999999999999,-0.06666666666666667,1.131438608648468,0.0015650645989270546,0,0,0,120
4109,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,-1.0,0.8166666666666667,1.1346003190464964,0.0,0,0,0,120
4110,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,0.5166666666666667,1.1295962422808181,0.011044204869453011,0,0,0,120
4111,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,0.9999999999999999,0.8,1.1300248123723367,0.0034592567784259777,0,0,0,120
4112,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,-0.23333333333333334,1.1323355214452209,0.0034624564964519026,0,0,0,120
4113,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,0.9999999999999998,0.6578947368421053,1.1190722521687726,0.00034553013326593955,0,0,0,76
4114,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,0.9999999999999998,0.4166666666666667,1.1312196190540325,0.003138652367578573,0,0,0,120
4115,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,-0.4166666666666667,1.1323471247669796,0.0024277635646353557,0,0,0,120
4116,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,-0.36666666666666664,1.132293107235428,0.0003153679306766077,0,0,0,120
4117,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,-0.35,1.1329366060380945,0.004538379399834661,0,0,0,120
4118,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,1.0,0.65,1.1345165932429546,0.0,0,0,0,120
4119,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,-0.8,1.1307230777696082,0.010712100058720938,0,0,0,120
4120,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,1.0,0.5,1.1292520995187492,0.008441030530046098,0,0,0,120
4121,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,0.9999999999999999,1.0,1.1331149274431653,0.004805685076285559,0,0,0,120
4122,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,-0.3333333333333333,1.1350193400395077,0.0002895475377906955,0,0,0,120
4123,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,0.9999999999999999,-0.11666666666666665,1.1324440738825705,0.012339955868578627,0,0,0,120
4124,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,1.0,-0.4,1.1351702640491084,0.00023112388221543934,0,0,0,120
4125,heldout,r07,2.0,0.0,0.0,0.0,0.05,0,1,0.9999999999999998,1.0,1.1194803920115295,0.015438142531883248,0,0,0,65
4126,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,1.0,0.16666666666666666,1.1318410075834615,0.008703324692498283,0,0,0,120
4127,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-0.9999999999999999,-0.3333333333333333,1.1300368121913758,0.013451138558022253,0,0,0,120
4128,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,-1.0,0.03333333333333333,1.1290386165375588,0.008940139667248671,0,0,0,120
4129,heldout,r07,2.0,0.0,0.0,0.0,0.05,1,0,0.9999999999999999,-0.25,1.1370879798365567,0.00691732991731656,0,0,0,120
4100,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,0.35,1.1337986784870444,0.0035225612369342223,0,0,0,120
4101,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,-0.25,1.1330136844776206,0.010290984472674632,0,0,0,120
4102,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-0.9999999999999999,-0.06666666666666667,1.1313991790536064,0.008520181117925475,0,0,0,120
4103,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-0.9999999999999999,-0.5833333333333334,1.1333623005557427,0.007547653810300327,0,0,0,120
4104,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-0.9999999999999998,3.700743415417188e-17,1.118950196861705,0.01226070082557301,0,0,0,60
4105,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.2833333333333333,1.129303300500813,0.0013793481446689533,0,0,0,120
4106,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,1.0,0.5,1.1288609099390037,0.0029598275880394504,0,0,0,120
4107,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,1.0,0.13333333333333333,1.1311642031904048,0.0,0,0,0,120
4108,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,0.9999999999999999,-0.06666666666666667,1.131438608648468,0.0015650645989270546,0,0,0,120
4109,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,-1.0,0.8166666666666667,1.1346003190464964,0.0,0,0,0,120
4110,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,0.5166666666666667,1.1295962422808181,0.011044204869453011,0,0,0,120
4111,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,0.9999999999999999,0.8,1.1300248123723367,0.0034592567784259777,0,0,0,120
4112,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.23333333333333334,1.1323355214452209,0.0034624564964519026,0,0,0,120
4113,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,0.9999999999999998,0.6578947368421053,1.1190722521687726,0.00034553013326593955,0,0,0,76
4114,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,0.9999999999999998,0.4166666666666667,1.1312196190540325,0.003138652367578573,0,0,0,120
4115,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.4166666666666667,1.1323471247669796,0.0024277635646353557,0,0,0,120
4116,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.36666666666666664,1.132293107235428,0.0003153679306766077,0,0,0,120
4117,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.35,1.1329366060380945,0.004538379399834661,0,0,0,120
4118,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,1.0,0.65,1.1345165932429546,0.0,0,0,0,120
4119,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.8,1.1307230777696082,0.010712100058720938,0,0,0,120
4120,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,1.0,0.5,1.1292520995187492,0.008441030530046098,0,0,0,120
4121,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,0.9999999999999999,1.0,1.1331149274431653,0.004805685076285559,0,0,0,120
4122,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,-0.3333333333333333,1.1350193400395077,0.0002895475377906955,0,0,0,120
4123,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,0.9999999999999999,-0.11666666666666665,1.1324440738825705,0.012339955868578627,0,0,0,120
4124,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,1.0,-0.4,1.1351702640491084,0.00023112388221543934,0,0,0,120
4125,heldout,r07,2.0,0.0,0.0,0.0,0.1,0,1,0.9999999999999998,1.0,1.1194803920115295,0.015438142531883248,0,0,0,65
4126,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,1.0,0.16666666666666666,1.1318410075834615,0.008703324692498283,0,0,0,120
4127,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-0.9999999999999999,-0.3333333333333333,1.1300368121913758,0.013451138558022253,0,0,0,120
4128,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,-1.0,0.03333333333333333,1.1290386165375588,0.008940139667248671,0,0,0,120
4129,heldout,r07,2.0,0.0,0.0,0.0,0.1,1,0,0.9999999999999999,-0.25,1.1370879798365567,0.00691732991731656,0,0,0,120
4100,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,0.35,1.1337986784870444,0.0035225612369342223,0,0,0,120
4101,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,-1.0,-0.25,1.1330136844776206,0.010290984472674632,0,0,0,120
4102,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-0.9999999999999999,-0.06666666666666667,1.1313991790536064,0.008520181117925475,0,0,0,120
4103,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-0.9999999999999999,-0.5833333333333334,1.1333623005557427,0.007547653810300327,0,0,0,120
4104,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,-0.9999999999999998,3.700743415417188e-17,1.118950196861705,0.01226070082557301,0,0,0,60
4105,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.2833333333333333,1.129303300500813,0.0013793481446689533,0,0,0,120
4106,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,1.0,0.5,1.1288609099390037,0.0029598275880394504,0,0,0,120
4107,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,1.0,0.13333333333333333,1.1311642031904048,0.0,0,0,0,120
4108,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,0.9999999999999999,-0.06666666666666667,1.131438608648468,0.0015650645989270546,0,0,0,120
4109,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,-1.0,0.8166666666666667,1.1346003190464964,0.0,0,0,0,120
4110,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,0.5166666666666667,1.1295962422808181,0.011044204869453011,0,0,0,120
4111,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,0.9999999999999999,0.8,1.1300248123723367,0.0034592567784259777,0,0,0,120
4112,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.23333333333333334,1.1323355214452209,0.0034624564964519026,0,0,0,120
4113,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,0.9999999999999998,0.6578947368421053,1.1190722521687726,0.00034553013326593955,0,0,0,76
4114,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,0.9999999999999998,0.4166666666666667,1.1312196190540325,0.003138652367578573,0,0,0,120
4115,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.4166666666666667,1.1323471247669796,0.0024277635646353557,0,0,0,120
4116,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.36666666666666664,1.132293107235428,0.0003153679306766077,0,0,0,120
4117,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.35,1.1329366060380945,0.004538379399834661,0,0,0,120
4118,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,1.0,0.65,1.1345165932429546,0.0,0,0,0,120
4119,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.8,1.1307230777696082,0.010712100058720938,0,0,0,120
4120,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,1.0,0.5,1.1292520995187492,0.008441030530046098,0,0,0,120
4121,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,0.9999999999999999,1.0,1.1331149274431653,0.004805685076285559,0,0,0,120
4122,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,-0.3333333333333333,1.1350193400395077,0.0002895475377906955,0,0,0,120
4123,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,0.9999999999999999,-0.11666666666666665,1.1324440738825705,0.012339955868578627,0,0,0,120
4124,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,1.0,-0.4,1.1351702640491084,0.00023112388221543934,0,0,0,120
4125,heldout,r07,2.0,0.0,0.0,0.0,0.2,0,1,0.9999999999999998,1.0,1.1194803920115295,0.015438142531883248,0,0,0,65
4126,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,1.0,0.16666666666666666,1.1318410075834615,0.008703324692498283,0,0,0,120
4127,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-0.9999999999999999,-0.3333333333333333,1.1300368121913758,0.013451138558022253,0,0,0,120
4128,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,-1.0,0.03333333333333333,1.1290386165375588,0.008940139667248671,0,0,0,120
4129,heldout,r07,2.0,0.0,0.0,0.0,0.2,1,0,0.9999999999999999,-0.25,1.1370879798365567,0.00691732991731656,0,0,0,120
4100,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,0.35,1.1337986784870444,0.0035225612369342223,0,0,0,120
4101,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,-1.0,-0.25,1.1330136844776206,0.010290984472674632,0,0,0,120
4102,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-0.9999999999999999,-0.06666666666666667,1.1313991790536064,0.008520181117925475,0,0,0,120
4103,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-0.9999999999999999,-0.5833333333333334,1.1333623005557427,0.007547653810300327,0,0,0,120
4104,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,-0.9999999999999998,3.700743415417188e-17,1.118950196861705,0.01226070082557301,0,0,0,60
4105,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.2833333333333333,1.129303300500813,0.0013793481446689533,0,0,0,120
4106,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,1.0,0.5,1.1288609099390037,0.0029598275880394504,0,0,0,120
4107,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,1.0,0.13333333333333333,1.1311642031904048,0.0,0,0,0,120
4108,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,0.9999999999999999,-0.06666666666666667,1.131438608648468,0.0015650645989270546,0,0,0,120
4109,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,-1.0,0.8166666666666667,1.1346003190464964,0.0,0,0,0,120
4110,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,0.5166666666666667,1.1295962422808181,0.011044204869453011,0,0,0,120
4111,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,0.9999999999999999,0.8,1.1300248123723367,0.0034592567784259777,0,0,0,120
4112,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.23333333333333334,1.1323355214452209,0.0034624564964519026,0,0,0,120
4113,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,0.9999999999999998,0.6578947368421053,1.1190722521687726,0.00034553013326593955,0,0,0,76
4114,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,0.9999999999999998,0.4166666666666667,1.1312196190540325,0.003138652367578573,0,0,0,120
4115,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.4166666666666667,1.1323471247669796,0.0024277635646353557,0,0,0,120
4116,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.36666666666666664,1.132293107235428,0.0003153679306766077,0,0,0,120
4117,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.35,1.1329366060380945,0.004538379399834661,0,0,0,120
4118,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,1.0,0.65,1.1345165932429546,0.0,0,0,0,120
4119,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.8,1.1307230777696082,0.010712100058720938,0,0,0,120
4120,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,1.0,0.5,1.1292520995187492,0.008441030530046098,0,0,0,120
4121,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,0.9999999999999999,1.0,1.1331149274431653,0.004805685076285559,0,0,0,120
4122,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,-0.3333333333333333,1.1350193400395077,0.0002895475377906955,0,0,0,120
4123,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,0.9999999999999999,-0.11666666666666665,1.1324440738825705,0.012339955868578627,0,0,0,120
4124,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,1.0,-0.4,1.1351702640491084,0.00023112388221543934,0,0,0,120
4125,heldout,r07,2.0,0.0,0.0,0.0,0.4,0,1,0.9999999999999998,1.0,1.1194803920115295,0.015438142531883248,0,0,0,65
4126,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,1.0,0.16666666666666666,1.1318410075834615,0.008703324692498283,0,0,0,120
4127,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-0.9999999999999999,-0.3333333333333333,1.1300368121913758,0.013451138558022253,0,0,0,120
4128,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,-1.0,0.03333333333333333,1.1290386165375588,0.008940139667248671,0,0,0,120
4129,heldout,r07,2.0,0.0,0.0,0.0,0.4,1,0,0.9999999999999999,-0.25,1.1370879798365567,0.00691732991731656,0,0,0,120
4100,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,0.35,1.1337986784870444,0.0035225612369342223,0,0,0,120
4101,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,-1.0,-0.25,1.1330136844776206,0.010290984472674632,0,0,0,120
4102,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-0.9999999999999999,-0.06666666666666667,1.1313991790536064,0.008520181117925475,0,0,0,120
4103,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-0.9999999999999999,-0.5833333333333334,1.1333623005557427,0.007547653810300327,0,0,0,120
4104,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,-0.9999999999999998,3.700743415417188e-17,1.118950196861705,0.01226070082557301,0,0,0,60
4105,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.2833333333333333,1.129303300500813,0.0013793481446689533,0,0,0,120
4106,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,1.0,0.5,1.1288609099390037,0.0029598275880394504,0,0,0,120
4107,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,1.0,0.13333333333333333,1.1311642031904048,0.0,0,0,0,120
4108,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,0.9999999999999999,-0.06666666666666667,1.131438608648468,0.0015650645989270546,0,0,0,120
4109,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,-1.0,0.8166666666666667,1.1346003190464964,0.0,0,0,0,120
4110,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,0.5166666666666667,1.1295962422808181,0.011044204869453011,0,0,0,120
4111,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,0.9999999999999999,0.8,1.1300248123723367,0.0034592567784259777,0,0,0,120
4112,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.23333333333333334,1.1323355214452209,0.0034624564964519026,0,0,0,120
4113,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,0.9999999999999998,0.6578947368421053,1.1190722521687726,0.00034553013326593955,0,0,0,76
4114,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,0.9999999999999998,0.4166666666666667,1.1312196190540325,0.003138652367578573,0,0,0,120
4115,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.4166666666666667,1.1323471247669796,0.0024277635646353557,0,0,0,120
4116,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.36666666666666664,1.132293107235428,0.0003153679306766077,0,0,0,120
4117,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.35,1.1329366060380945,0.004538379399834661,0,0,0,120
4118,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,1.0,0.65,1.1345165932429546,0.0,0,0,0,120
4119,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.8,1.1307230777696082,0.010712100058720938,0,0,0,120
4120,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,1.0,0.5,1.1292520995187492,0.008441030530046098,0,0,0,120
4121,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,0.9999999999999999,1.0,1.1331149274431653,0.004805685076285559,0,0,0,120
4122,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,-0.3333333333333333,1.1350193400395077,0.0002895475377906955,0,0,0,120
4123,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,0.9999999999999999,-0.11666666666666665,1.1324440738825705,0.012339955868578627,0,0,0,120
4124,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,1.0,-0.4,1.1351702640491084,0.00023112388221543934,0,0,0,120
4125,heldout,r07,2.0,0.0,0.0,0.25,0.0,0,1,0.9999999999999998,1.0,1.1194803920115295,0.015438142531883248,0,0,0,65
4126,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,1.0,0.16666666666666666,1.1318410075834615,0.008703324692498283,0,0,0,120
4127,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-0.9999999999999999,-0.3333333333333333,1.1300368121913758,0.013451138558022253,0,0,0,120
4128,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,-1.0,0.03333333333333333,1.1290386165375588,0.008940139667248671,0,0,0,120
4129,heldout,r07,2.0,0.0,0.0,0.25,0.0,1,0,0.9999999999999999,-0.25,1.1370879798365567,0.00691732991731656,0,0,0,120
4100,heldout,r07,2.0,0.0,0.0,0.25,0.05,1,0,-1.0,0.35,1.1337986784870444,0.0035225612369342223,0,0,0,120
4101,heldout,r07,2.0,0.0,0.0,0.25,0.05,0,1,-1.0,-0.25,1.1330136844776206,0.010290984472674632,0,0,0,120
4102,heldout,r07,2.0,0.0,0.0,0.25,0.05,1,0,-0.9999999999999999,-0.06666666666666667,1.1313991790536064,0.008520181117925475,0,0,0,120
4103,heldout,r07,2.0,0.0,0.0,0.25,0.05,1,0,-0.9999999999999999,-0.5833333333333334,1.1333623005557427,0.007547653810300327,0,0,0,120
4104,heldout,r07,2.0,0.0,0.0,0.25,0.05,0,1,-0.9999999999999998,3.700743415417188e-17,1.118950196861705,0.01226070082557301,0,0,0,60
4105,heldout,r07,2.0,0.0,0.0,0.25,0.05,1,0,-1.0,-0.2833333333333333,1.129303300500813,0.0013793481446689533,0,0,0,120
